Timestamp,Raw_Accel_X,Raw_Accel_Y,Raw_Accel_Z,Raw_Gyro_X,Raw_Gyro_Y,Raw_Gyro_Z,Calc_Pos_X,Calc_Pos_Y,Calc_Pos_Z
1735859,-1984,204,17612,-444,467,106,0.0,0.0,1
1735963,-1960,160,17548,-435,473,104,0.0,0.0,1
1736067,-1924,108,17588,-446,471,127,0.0,0.0,1
1736171,-1912,132,17552,-433,457,113,0.0,0.0,1
1736275,-1672,-20,17256,-444,993,126,0.0,0.0,1
1736379,-1956,172,17564,-469,438,119,0.0,0.0,1
1736483,-1964,172,17568,-455,481,147,0.0,0.0,0
1736587,-1964,172,17528,-461,462,133,0.0,0.0,0
1736691,-1924,60,17552,-473,488,116,0.0,0.0,0
1736795,-1956,100,17596,-414,453,106,0.0,0.0,0
1736899,-1964,128,17468,-431,459,113,0.0,0.0,0
1737003,-1972,164,17640,-426,455,113,0.0,0.0,0
1737107,-1960,136,17636,-437,473,109,0.0,0.0,0
1737211,-1956,208,17628,-450,491,105,0.0,0.0,0
1737315,-1960,140,17720,-422,478,140,0.0,0.0,1
1737419,-1948,152,17620,-451,454,125,0.0,0.0,1
1737523,-1948,144,17528,-453,454,103,0.0,0.0,1
1737627,-1920,40,17644,-752,370,99,0.0,0.0,0
1737731,-1840,104,17576,-492,580,138,0.0,0.0,0
1737835,-1972,-48,17524,-461,430,131,0.0,0.0,0
1737939,-2444,-396,17408,-276,503,-194,0.0,0.0,0
1738043,-2488,-2568,17856,102,391,-4309,-1.07273088,-5.428388159999999,0
1738147,-824,-92,17812,-883,521,4185,-3.0971654764063543,-18.759605238586047,0
1738251,-2308,296,17528,-97,375,-2877,-5.54676255609211,-39.5088583437641,0
1738355,-2272,-512,17376,-599,443,1148,-8.65849256191759,-67.55255291829691,0
1738459,-1364,980,18260,-678,431,1888,-10.508894597311945,-101.87120338695495,0
1738563,-1756,424,18084,-480,274,60,-10.705346449817917,-137.56657424082684,0
1738667,-1836,380,17404,-490,506,369,-10.423487565547855,-170.86194303826613,0
1738771,-2056,-64,17636,-423,471,47,-10.821191904869536,-201.8190532417853,0
1738875,-1928,40,17704,-404,472,115,-10.504266635474135,-230.33649432259176,0
1738979,-1928,36,17648,-431,457,120,-10.309953963746242,-256.9877061299467,0
1739083,-1940,108,17560,-428,453,122,-10.802142484102792,-283.1330688817562,0
1739187,-1944,92,17584,-432,470,115,-11.56835489138263,-309.3284761969864,0
1739291,-1960,56,17612,-417,462,98,-12.348503024713994,-335.7317235374736,0
1739395,-1924,52,17584,-444,449,149,-13.035210931971749,-362.20359390558406,0
1739499,-1896,76,17656,-427,440,118,-13.687498138829472,-388.6784071398208,0
1739603,-1944,60,17560,-434,33,138,-14.310900347487783,-415.15893030872274,0
1739707,-1944,48,17556,-435,483,94,-14.938643092122545,-441.73904041665304,0
1739811,-1944,-8,17656,-363,492,131,-15.554200328885196,-468.52345285976406,0
1739915,-1868,52,17572,-429,464,136,-16.1046191013597,-495.5675990656779,0
1740019,-1956,104,17660,-430,451,97,-16.670372777254254,-522.8291935115475,0
1740123,-1948,92,17552,-449,437,117,-17.311294932194254,-550.2354855945647,0
1740227,-1960,80,17636,-420,433,117,-17.979095651283874,-577.7148259738697,0
1740331,-1920,88,17684,-443,457,126,-18.642002620285417,-605.1356092756616,0
1740435,-1920,16,17624,-429,494,140,-19.331371994097886,-632.4441115207958,0
1740539,-1940,84,17644,-430,463,144,-20.053084310444742,-659.7082049356083,0
1740643,-1948,36,17580,-424,429,130,-20.053084310444742,-659.7082049356083,1
1740747,-1916,76,17624,-458,471,101,-20.053084310444742,-659.7082049356083,1
1740851,-1928,48,17544,-453,447,123,-20.053084310444742,-659.7082049356083,1
1740955,-1972,88,17612,-436,483,122,-20.053084310444742,-659.7082049356083,1
1741059,-1888,76,17544,-427,451,113,-20.053084310444742,-659.7082049356083,1
1741163,-1928,60,17652,-439,499,120,-20.053084310444742,-659.7082049356083,1
1741267,-1956,20,17596,-404,435,130,-20.053084310444742,-659.7082049356083,1
1741371,-1888,68,17696,-456,475,126,-20.053084310444742,-659.7082049356083,1
1741475,-2032,64,17656,-465,469,95,-20.053084310444742,-659.7082049356083,1
1741579,-1936,112,17488,-481,459,56,-20.053084310444742,-659.7082049356083,1
1741683,-2016,444,17496,-270,480,-1107,-20.053084310444742,-659.7082049356083,0
1741787,-2016,604,17552,-545,336,1134,-20.053084310444742,-659.7082049356083,0
1741891,-1704,1132,17216,-331,569,-617,-19.84758031044474,-655.3789206689415,0
1741995,-2132,256,16984,-360,623,-381,-18.714181636535432,-646.3720155174792,0
