Timestamp,Raw_Accel_X,Raw_Accel_Y,Raw_Accel_Z,Raw_Gyro_X,Raw_Gyro_Y,Raw_Gyro_Z,Calc_Pos_X,Calc_Pos_Y,Calc_Pos_Z
931327,-1728,32,17696,-435,436,107,0.0,0.0,1
931431,-1844,104,17584,-440,450,116,0.0,0.0,1
931535,-1780,120,17640,-428,456,138,0.0,0.0,1
931639,-1824,88,17624,-455,481,96,0.0,0.0,1
931743,-1796,168,17624,-403,468,97,0.0,0.0,1
931847,-1764,128,17576,-443,444,120,0.0,0.0,1
931951,-1820,88,17532,-414,450,108,0.0,0.0,1
932055,-1644,-24,17516,-522,494,100,0.0,0.0,1
932159,-1928,384,18020,-558,97,601,-1.0275199999999998,1.8084351999999995,0
932263,-1940,-260,17776,-402,919,-317,-4.089529599999999,5.489011839999998,0
932367,-1812,776,17844,-548,402,822,-8.35129374908005,11.163060187714219,0
932471,-740,-52,16716,-503,816,337,-11.926203190929115,19.373760154701912,0
932575,-1008,360,17336,-523,741,631,-13.9652620463605,28.26812381066115,0
932679,-3172,-704,18296,-431,557,250,-16.562779027648165,36.00944739372744,0
932783,-1400,792,17044,-413,811,536,-19.551081293320777,43.12842397651124,0
932887,492,1576,16296,-409,557,398,-22.0597672459994,54.74224461307226,0
932991,-2536,-472,17720,-322,424,-634,-25.017684547066782,70.13507221689613,0
933095,-2236,-220,17644,-403,709,-385,-28.044952488191413,85.8441879402292,0
933199,-2228,332,17560,-365,538,-404,-31.452516659969433,104.4383945760929,0
933303,-1932,-376,17572,-450,517,223,-34.8663124093857,125.28873845677543,0
933407,-2012,-208,17016,-548,724,637,-44.049321467152964,146.74556363779735,0
933511,-1748,920,17536,-438,557,352,-55.745398509194274,169.45751404295942,0
933615,-2632,-184,17500,-424,490,69,-69.16667819011462,191.97303024908138,0
933719,-2108,-388,17680,-366,453,-496,-83.0470901755612,214.17383664769292,0
933823,-1984,92,17380,-441,341,62,-96.84941545463494,236.09754377991052,0
933927,-2048,132,17680,-423,440,90,-110.63396615681901,258.61226371268936,0
934031,-2028,144,17700,-469,442,125,-124.94907106494489,281.13413910589276,0
934135,-2012,144,17544,-420,468,117,-139.0746433583677,303.5490586719156,0
934239,-1960,180,17608,-434,408,124,-152.35739237520048,326.7659315498422,0
934343,-1976,76,17580,-451,418,109,-165.5716665984886,350.75300685562286,0
934447,-1916,92,17532,-448,438,100,-178.89401280670495,375.23954967135245,0
934551,-2024,120,17540,-436,442,108,-192.27341146559087,400.0954476186192,0
934655,-1940,176,17664,-438,453,133,-205.69400580265358,425.2233111086431,0
934759,-2028,80,17560,-422,425,139,-205.69400580265358,425.2233111086431,1
934863,-2004,152,17716,-426,454,104,-205.69400580265358,425.2233111086431,1
934967,-2016,84,17648,-412,456,143,-205.69400580265358,425.2233111086431,1
935071,-1976,84,17484,-440,481,132,-205.69400580265358,425.2233111086431,1
935175,-1992,188,17532,-442,427,121,-205.69400580265358,425.2233111086431,1
935279,-2000,132,17648,-439,478,166,-205.69400580265358,425.2233111086431,1
935383,-1976,112,17612,-438,463,85,-205.69400580265358,425.2233111086431,1
935487,-1964,92,17604,-426,444,134,-205.69400580265358,425.2233111086431,1
935591,-1908,92,17608,-451,441,134,-205.69400580265358,425.2233111086431,1
935695,-1964,168,17548,-422,461,141,-205.69400580265358,425.2233111086431,1
935799,-1968,80,17664,-454,444,133,-205.69400580265358,425.2233111086431,1
