Timestamp,Raw_Accel_X,Raw_Accel_Y,Raw_Accel_Z,Raw_Gyro_X,Raw_Gyro_Y,Raw_Gyro_Z,Calc_Pos_X,Calc_Pos_Y,Calc_Pos_Z
961591,-1944,136,17680,-462,437,124,0.0,0.0,1
961695,-1928,100,17520,-495,310,79,0.0,0.0,1
961799,-1848,144,17656,-490,394,113,0.0,0.0,1
961903,-1948,84,17624,-465,450,135,0.0,0.0,1
962007,-1932,88,17624,-439,445,133,0.0,0.0,1
962111,-2000,104,17676,-430,437,113,0.0,0.0,1
962215,-1820,60,17672,-424,470,143,0.0,0.0,1
962319,-1964,104,17536,-432,459,114,0.0,0.0,1
962423,-1936,108,17532,-431,477,85,0.0,0.0,1
962527,1656,-368,16364,-466,1260,473,18.495359999999998,-2.5893503999999994,0
962631,-2760,124,19056,-383,522,-451,61.87930571099398,-8.89875741924599,0
962735,-1264,424,18508,-548,151,887,117.4580488364499,-16.382029468608085,0
962839,-1660,140,17956,-516,499,436,182.10736592427483,-24.112851878425516,0
962943,-4356,-392,17364,-486,566,398,249.94956271000837,-32.74605417251337,0
963047,-1884,248,18112,-441,1029,349,318.5468734668446,-43.82991245069418,0
963151,-3352,80,18020,-592,692,1246,387.03038698741875,-58.387168930589624,0
963255,-44,256,15944,-355,520,-179,453.31283599121815,-73.39031960430188,0
963359,-1624,-28,16320,-375,587,1,519.164735038921,-94.03122509667132,0
963463,-5364,-228,18636,-294,177,330,585.4487806141544,-122.2385260054252,0
963567,-2040,-132,17872,-429,884,287,647.9635540167778,-161.60750144092188,0
963671,-732,68,17644,-359,720,-460,709.7345501227448,-201.8907717546311,0
963775,-2248,276,17900,-436,117,89,766.5944530293536,-241.282377218939,0
963879,-1964,136,17604,-447,446,98,814.9008667460608,-290.02478417447924,0
963983,-1904,128,17576,-442,456,133,865.2921808119602,-337.1707555686462,0
964087,-1884,76,17596,-449,481,110,914.7413635599738,-382.45803138260777,0
964191,-1892,116,17616,-458,451,154,961.8128783348099,-426.2068748201716,0
964295,-1932,140,17580,-433,412,98,1006.1062034874368,-468.23547960377715,0
964399,-1848,84,17540,-429,443,94,1048.650857099485,-508.3797807395261,0
964503,-1896,96,17600,-454,452,129,1089.5710124922534,-546.9504368842681,0
964607,-1916,180,17656,-438,437,137,1128.908759684718,-583.971126699411,0
964711,-1952,116,17484,-446,465,119,1166.6209402661977,-619.4342803889618,0
964815,-1864,108,17596,-443,468,109,1166.6209402661977,-619.4342803889618,1
964919,-1952,104,17660,-432,443,129,1166.6209402661977,-619.4342803889618,1
965023,-1928,84,17496,-396,478,159,1166.6209402661977,-619.4342803889618,1
