Timestamp,Raw_Accel_X,Raw_Accel_Y,Raw_Accel_Z,Raw_Gyro_X,Raw_Gyro_Y,Raw_Gyro_Z,Calc_Pos_X,Calc_Pos_Y,Calc_Pos_Z
948383,-1944,64,17560,-416,454,107,0.0,0.0,1
948487,-1924,112,17632,-426,444,115,0.0,0.0,1
948591,-1908,112,17608,-445,463,91,0.0,0.0,1
948695,-1936,88,17540,-469,440,84,0.0,0.0,1
948799,-1992,136,17632,-421,457,125,0.0,0.0,1
948903,-1912,72,17604,-424,461,103,0.0,0.0,1
949007,-4812,-828,17012,-852,721,3858,-14.734636799999997,-4.5827392,0
949111,-3296,-172,17992,-528,372,772,-54.1993112358009,-16.635902609622935,0
949215,-2924,-76,17684,-290,543,-749,-111.43492864585642,-33.37132948883216,0
949319,-2800,36,17976,-455,405,-495,-182.7102500426496,-53.084163018216685,0
949423,-2140,352,17404,-250,310,-1304,-264.95503617755685,-73.94670690187496,0
949527,-936,28,17436,-201,387,-1597,-351.8854313033656,-95.35237474924143,0
949631,-2612,-52,17056,-394,433,-687,-438.50631242989346,-116.27581955432593,0
949735,-1640,-124,17524,-230,463,-1160,-522.7296066800723,-137.03086067998555,0
949839,-1052,-328,16532,-349,737,-98,-601.7191477037384,-157.6764719092934,0
949943,-1104,16,17596,-398,499,12,-673.4699353620675,-187.427299880819,0
950047,-2136,496,18888,-481,751,-836,-743.9932488918162,-216.48326901889268,0
950151,-1976,-76,16756,-298,987,-679,-808.2757954321191,-244.1303171942463,0
950255,-2764,72,18228,-322,430,-1081,-867.6892937091536,-269.449242910251,0
950359,-2256,-604,16664,-603,467,1358,-924.6337527938264,-292.9030334170903,0
950463,-1056,84,17304,-324,584,-490,-979.8472785277186,-315.401311550367,0
950567,-120,456,17128,-359,1195,-385,-1031.186708619264,-337.1684573929939,0
950671,-1404,-76,17028,-283,1120,-276,-1075.0284570793388,-363.5050391421625,0
950775,-1212,512,17628,-327,954,-712,-1114.257352110782,-393.7987604655645,0
950879,-1520,328,17976,-486,129,467,-1145.3966457591562,-427.99190583088694,0
950983,-1108,416,17684,-475,652,81,-1163.7896084627662,-463.81574859071964,0
951087,-1404,168,17584,-388,382,-234,-1164.9535248722389,-498.1809993831903,0
951191,-1964,60,17592,-445,492,112,-1146.9298656057974,-527.4233901952167,0
951295,-2000,88,17484,-423,466,122,-1126.6183326532475,-555.2289580207155,0
951399,-1980,124,17544,-431,458,132,-1106.0056642920858,-580.9466304112842,0
951503,-2012,160,17592,-466,437,134,-1087.7249798123034,-605.7033617811219,0
951607,-2008,44,17632,-421,470,108,-1071.8163142923395,-629.5832419863002,0
951711,-1992,64,17640,-438,456,82,-1057.3847503801057,-652.3111189940587,0
951815,-1928,100,17636,-472,486,115,-1043.7383996690126,-673.7430667307489,0
951919,-2024,60,17460,-421,472,151,-1030.892823936437,-693.9503101847215,0
952023,-2040,160,17712,-412,454,114,-1018.917614903363,-712.9962718169019,0
952127,-2044,92,17528,-417,449,95,-1018.917614903363,-712.9962718169019,1
952231,-1980,116,17592,-446,480,108,-1018.917614903363,-712.9962718169019,1
952335,-2012,112,17552,-454,453,105,-1018.917614903363,-712.9962718169019,1
952439,-1988,52,17644,-429,431,117,-1018.917614903363,-712.9962718169019,1
952543,-2004,84,17540,-438,474,118,-1018.917614903363,-712.9962718169019,1
952647,-1968,120,17584,-494,451,123,-1018.917614903363,-712.9962718169019,1
952751,-1956,64,17608,-440,470,103,-1018.917614903363,-712.9962718169019,1
952855,-2016,68,17680,-448,441,124,-1018.917614903363,-712.9962718169019,1
