Timestamp,Raw_Accel_X,Raw_Accel_Y,Raw_Accel_Z,Raw_Gyro_X,Raw_Gyro_Y,Raw_Gyro_Z,Calc_Pos_X,Calc_Pos_Y,Calc_Pos_Z
910735,-2052,92,17560,-402,430,132,0.0,0.0,1
910839,-2080,92,17552,-445,442,108,0.0,0.0,1
910943,-2108,104,17644,-447,478,141,0.0,0.0,1
911047,-2060,140,17632,-427,433,119,0.0,0.0,1
911151,-2040,132,17568,-444,448,106,0.0,0.0,1
911255,-2068,116,17564,-445,465,125,0.0,0.0,1
911359,-2064,152,17532,-427,463,131,0.0,0.0,1
911463,-1992,148,17608,-415,468,112,0.0,0.0,1
911567,-2088,80,17604,-435,461,124,0.0,0.0,1
911671,-2056,100,17608,-426,449,118,0.0,0.0,1
911775,-2096,156,17516,-430,449,123,0.0,0.0,1
911879,-2100,72,17632,-454,455,114,0.0,0.0,1
911983,-2132,160,17608,-447,439,123,0.0,0.0,1
912087,-2080,112,17716,-404,483,96,0.0,0.0,1
912191,-2024,108,17596,-426,457,143,0.0,0.0,1
912295,-1628,-300,17732,-711,1523,2268,2.1783423999999996,-2.0139392,0
912399,-1988,20,17532,-421,212,122,7.679684479999999,-7.133043839999999,0
912503,-1840,76,17668,-421,371,156,15.347043582216578,-13.968408645193945,0
912607,-1072,380,17740,-193,463,-2188,25.84217906043046,-21.636839579140112,0
912711,-3400,-12,17012,-438,187,864,37.41011463533946,-30.572143880471074,0
912815,-2104,12,17572,-793,241,3455,47.754993385016824,-40.24538805583316,0
912919,-1412,-240,17636,-759,730,2791,57.83964409471173,-49.52961587121147,0
913023,-1244,-456,17340,-280,113,-1037,68.79951057414193,-59.323434888043174,0
913127,-3908,-44,18576,-627,-258,1660,78.04695691221269,-70.64431789795765,0
913231,204,1520,17200,-366,1095,-236,88.15022853000814,-80.88836546610816,0
913335,1792,8,14048,-535,1631,1125,107.1588975935901,-92.38819191731422,0
913439,-1364,-180,16264,-278,935,-1074,137.8895922376804,-109.82423361616499,0
913543,-3044,176,18352,-454,123,166,180.26281130945654,-127.74064104099031,0
913647,-3044,176,17940,-291,-118,-762,232.29014462376446,-143.3362589229444,0
913751,-2108,256,17600,-475,211,46,290.0754825060575,-158.11992290155828,0
913855,-2112,556,18044,-407,349,57,347.2953198265515,-172.3623668021073,0
913959,-1844,56,17524,-439,472,109,405.11889091802095,-184.53022630631932,0
914063,-1836,28,17604,-429,431,128,461.84647131778615,-196.21237216142544,0
914167,-1752,-16,17556,-395,460,139,515.393873529087,-206.64732534138645,0
914271,-1848,8,17588,-457,463,104,567.2418543513763,-216.82824523916847,0
914375,-1808,96,17644,-392,466,123,618.0534074789363,-227.39024865936207,0
914479,-1832,36,17628,-427,432,111,668.3655715500146,-238.2688077725916,0
914583,-1772,56,17576,-434,468,170,718.4055015352467,-249.06404966822436,0
914687,-1828,16,17584,-454,451,122,768.1455137627722,-259.73599206861144,0
914791,-1800,100,17532,-425,458,157,768.1455137627722,-259.73599206861144,1
914895,-1820,8,17676,-442,430,100,768.1455137627722,-259.73599206861144,1
914999,-1764,96,17544,-419,459,125,768.1455137627722,-259.73599206861144,1
915103,-1800,72,17604,-475,469,138,768.1455137627722,-259.73599206861144,1
915207,-1828,36,17664,-442,442,127,768.1455137627722,-259.73599206861144,1
915311,-1784,52,17616,-406,429,111,768.1455137627722,-259.73599206861144,1
915415,-1780,52,17560,-427,422,145,768.1455137627722,-259.73599206861144,1
